gene_id,Ah11_30_21,Ah11_30_22,Ah11_34_21,Ah11_34_22,Ah17_30_21,Ah17_30_22,Ah17_34_21,Ah17_34_22,Ah2_30_21,Ah2_30_22,Ah2_34_21,Ah2_34_22,Ah4_30_21,Ah4_30_22,Ah4_34_21,Ah4_34_22,Ah8_30_21,Ah8_30_22,Ah8_34_22
ahya_s0157.g5,149,161,38,441,0,0,0,0,0,0,0,0,62,62,9,78,0,238,259
ahya_s0157.g25,11,11,12,4,33,45,25,2,0,11,0,4,0,149,0,73,0,11,0
ahya_s0157.g28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0157.g26,165,79,44,195,357,100,258,39,77,201,69,126,0,188,6,321,141,119,99
ahya_s0157.g27,334,172,194,458,392,81,235,77,55,128,144,41,45,329,76,219,133,432,282
ahya_s0157.g21,4185,1059,513,3216,2733,2165,3365,2458,1026,1912,1430,2268,3772,2336,1879,4040,1142,1571,2431
ahya_s0157.g22,1450,395,387,1840,1187,284,941,2898,53,284,1690,682,1540,1034,458,2040,330,432,1009
ahya_s0157.g23,3205,267,357,1368,893,903,1291,7013,680,736,7336,3081,1707,585,334,1381,509,414,967
ahya_s0357.g1,412,229,49,169,571,1320,824,440,287,1096,803,422,1166,456,387,373,145,1487,1320
ahya_s0357.g9,684,1050,17,985,562,1351,285,506,60,1405,449,755,779,1428,634,1638,179,631,831
ahya_s1609.g1,222,109,71,296,354,420,375,463,144,463,501,396,339,277,269,395,90,208,540
ahya_s0357.g10,2348,663,335,1741,1475,1226,2698,1300,1375,982,707,955,2443,1124,676,1778,947,965,1223
ahya_s0357.g11,370,132,96,281,264,389,364,319,84,412,32,229,317,192,172,232,19,238,281
ahya_s0357.g6,69,45,4,93,12,92,20,33,50,85,78,56,137,53,85,78,0,58,74
ahya_s0357.g2,4391,2150,1078,6158,3913,4611,3721,4678,1809,4123,3409,4449,4378,3914,1707,6952,4931,3219,4908
ahya_s0357.g3,101,65,25,129,142,78,82,74,0,53,0,81,15,146,13,315,49,103,105
ahya_s0357.g4,43,46,0,85,61,125,15,108,0,113,55,124,86,84,87,223,0,87,78
ahya_s0357.g5,123,72,0,63,30,26,26,12,0,46,0,37,61,80,26,76,29,48,54
ahya_s0357.g7,2418,891,644,1548,1772,2163,2754,1341,2275,1938,1328,1291,1080,1725,381,1977,1280,1118,958
ahya_s0357.g8,1924,650,281,1719,1142,1319,1353,1839,324,1260,84,1298,385,1116,394,2055,520,865,1623
ahya_s0059.g2,0,0,0,0,7,0,7,0,0,0,0,0,6,0,0,0,0,0,0
ahya_s0059.g13,3409,2557,1461,5576,1846,2448,1787,2230,576,2530,535,2223,2901,2352,653,3697,374,2626,2882
ahya_s0059.g19,0,7,10,7,0,0,0,0,0,0,0,0,84,3,2,10,0,0,7
ahya_s0059.g22,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,0
ahya_s0059.g23,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,4,10
ahya_s0059.g24,0,0,0,0,0,5,0,0,0,4,0,4,0,0,0,0,0,21,8
ahya_s0059.g25,0,4,0,7,35,49,0,48,0,34,0,41,0,10,0,12,0,0,7
ahya_s0059.g29,3176,504,1659,1751,2505,856,2231,1231,2362,907,1396,1182,3534,876,1741,1516,1790,836,1634
ahya_s0059.g49,0,4,0,0,169,8,180,0,0,0,0,0,62,56,0,49,3,5,0
ahya_s0059.g58,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11
ahya_s0059.g60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0059.g62,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ahya_s0059.g63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ahya_s0059.g65,2113,1475,559,4629,1251,2149,1138,2091,227,1960,454,2184,913,1739,307,3042,239,1636,2278
ahya_s0059.g68,203,43,22,211,170,110,215,149,28,86,29,107,111,10,151,103,93,27,111
ahya_s0059.g1,19,47,0,4,20,0,0,0,0,0,0,0,4,0,9,3,25,4,1
ahya_s0059.g3,1135,822,244,1504,1336,1883,1318,1415,66,1723,488,1317,2041,1901,273,1839,413,1385,1372
ahya_s0059.g4,1159,413,400,1210,714,601,654,711,420,664,408,713,1259,890,225,888,417,499,739
ahya_s0059.g5,1095,925,364,2233,1345,1567,959,785,186,1376,544,1420,827,1335,479,2265,846,1160,1241
ahya_s0059.g6,4490,1704,1022,5504,3390,3638,7934,5078,3536,3602,4136,5228,10641,3308,1716,7817,3352,2835,5619
ahya_s0059.g7,609,355,301,1049,1047,667,477,1219,73,672,36,958,1041,596,295,967,246,406,679
ahya_s0059.g8,189,156,74,124,292,336,157,11,0,368,78,24,154,238,166,54,39,157,75
ahya_s0059.g9,651,65,236,542,825,255,402,1328,683,268,815,572,983,82,241,322,1403,73,216
ahya_s0059.g10,449,219,55,660,10,240,54,291,43,209,127,211,451,211,93,396,0,459,543
ahya_s0059.g11,772,556,257,1138,563,529,169,514,32,487,175,521,727,490,106,759,73,477,510
ahya_s0059.g12,1015,558,508,1696,1413,713,1089,1210,318,825,505,893,1341,636,430,984,833,753,920
ahya_s0059.g14,217,159,19,507,165,267,96,334,0,283,64,255,38,223,37,313,33,186,342
ahya_s0059.g15,1068,286,159,658,30,6,32,0,0,5,0,5,545,185,187,367,12,814,869
ahya_s0059.g16,47,27,28,87,47,411,19,225,3,332,23,278,14,158,5,107,0,8,4
ahya_s0059.g17,28,15,0,64,279,145,196,165,0,128,0,134,437,178,55,218,3,55,59
ahya_s0059.g18,243,173,114,324,1043,2252,157,1083,154,2072,628,1060,107,703,72,307,77,401,281
ahya_s0059.g20,11,25,0,35,81,30,12,41,0,26,0,83,43,82,0,106,0,2,4
ahya_s0059.g21,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0059.g26,22,24,0,21,26,26,6,9,3,22,0,29,21,13,0,29,0,114,85
ahya_s0059.g27,172,40,23,241,324,301,266,295,96,272,413,262,250,292,104,262,76,234,326
ahya_s0059.g28,49096,10408,14041,33161,31220,18846,22581,20705,24480,18199,98795,21514,28935,20972,39963,44852,18154,12617,28970
ahya_s0059.g30,12,15,6,47,21,33,14,19,0,27,0,0,16,16,0,21,0,20,32
ahya_s0059.g31,1334,722,683,2280,1275,1647,1474,2178,922,1751,1506,2126,2321,1672,783,3467,462,1193,2033
ahya_s0059.g32,78,109,35,205,0,275,0,216,67,252,127,239,80,71,78,46,0,83,67
ahya_s0059.g33,1631,677,449,2224,1440,571,1560,795,141,483,402,580,3077,1296,720,2258,448,954,1716
ahya_s0059.g34,53,21,6,8,57,61,16,40,0,75,0,70,32,99,11,63,0,35,23
ahya_s0059.g35,322,124,50,371,470,172,414,168,0,200,6,119,260,436,114,378,25,289,384
ahya_s0059.g36,938,527,302,1812,980,973,1137,902,212,874,488,872,1439,1331,608,1804,181,1077,1335
ahya_s0059.g37,3,6,0,9,0,17,4,42,0,33,0,24,14,7,15,7,0,9,15
ahya_s0059.g38,294,96,108,524,260,349,308,359,77,349,208,275,519,267,79,503,69,268,413
ahya_s0059.g39,714,375,281,1463,944,878,408,1394,179,725,357,1197,931,717,136,783,120,751,974
ahya_s0059.g40,645,271,182,632,423,592,508,613,65,479,0,473,758,396,225,635,282,380,425
ahya_s0059.g41,228,68,138,201,233,169,212,60,144,213,0,64,238,190,164,175,39,172,129
ahya_s0059.g42,2229,1282,518,3385,2503,2979,2896,2840,444,2815,464,2620,3417,2364,1169,4462,671,1842,2240
ahya_s0059.g43,949,160,408,457,728,360,408,417,1737,327,521,265,590,217,291,431,487,273,261
ahya_s0059.g44,448,102,109,229,305,241,759,84,312,161,300,84,240,277,277,170,21,198,289
ahya_s0059.g45,579,388,127,1195,700,728,465,560,119,688,605,626,573,865,221,1366,108,564,641
ahya_s0059.g46,660,381,49,1219,168,863,159,430,348,712,932,403,628,491,211,700,93,393,557
ahya_s0059.g47,210,118,20,175,112,0,123,0,0,9,0,1,0,0,0,7,20,243,162
ahya_s0059.g48,561,240,130,730,74,437,40,268,83,287,0,313,225,47,83,99,0,941,930
ahya_s0059.g50,84,80,44,172,54,149,55,122,0,133,0,91,267,74,162,77,0,71,63
ahya_s0059.g51,842,477,210,1150,603,428,438,350,0,382,0,319,190,366,116,409,80,553,566
ahya_s0059.g52,357,230,93,814,320,192,311,191,20,149,0,181,30,308,16,370,145,409,512
ahya_s0059.g53,544,132,307,347,127,860,248,1156,677,798,299,607,626,670,237,1277,249,245,173
ahya_s0059.g54,2691,775,365,955,1613,584,1824,555,596,716,184,341,341,658,263,553,2186,576,273
ahya_s0059.g55,587,349,99,538,693,902,674,505,107,783,327,475,1014,803,348,677,312,484,395
ahya_s0059.g56,4005,1826,1173,5808,3088,4168,2531,5170,695,3794,952,4145,4430,2455,987,3299,1403,2952,3112
ahya_s0059.g57,60,123,12,281,46,214,13,327,0,239,0,224,0,114,9,191,0,131,243
ahya_s0059.g59,278,74,53,353,190,237,220,216,0,213,0,190,322,186,57,320,84,149,172
ahya_s0059.g61,6,10,0,3,0,20,11,16,0,60,0,43,0,27,0,24,0,9,12
ahya_s0059.g64,25,15,0,44,33,1,7,5,0,0,0,0,0,8,0,8,12,29,19
ahya_s0059.g66,2446,942,372,2289,2047,1617,2337,2024,139,1488,377,1545,2807,1584,781,2367,795,1645,1743
ahya_s0059.g67,9136,3116,2258,8712,6232,5593,9869,6252,2811,5308,1418,5722,8074,5085,2617,8911,4593,3625,4812
ahya_s0059.g69,119,103,31,184,398,844,68,1009,167,792,156,745,140,378,33,350,0,220,326
ahya_s0059.g70,427,158,86,319,978,649,647,554,186,585,210,511,760,284,153,286,371,467,352
ahya_s0003.g320,21,26,0,12,215,485,30,559,0,476,0,439,71,359,23,580,6,132,191
ahya_s0159.g21,318,110,42,666,108,139,55,284,0,131,0,152,93,135,10,208,12,205,231
ahya_s0159.g24,0,0,0,3,2,0,0,0,0,0,0,0,0,47,0,44,0,0,0
ahya_s0159.g25,1,7,0,4,0,0,0,0,0,0,0,0,0,51,0,32,0,91,72
ahya_s0159.g26,18,11,12,13,0,0,0,0,0,0,0,0,0,80,0,91,0,33,30
ahya_s0159.g27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahya_s0159.g32,0,4,17,14,0,0,0,0,0,0,0,0,0,145,0,72,0,238,141
ahya_s0159.g1,479,451,71,553,1907,917,161,114,0,724,0,164,0,227,24,67,25,654,211
ahya_s0159.g2,508,202,228,276,1402,241,251,58,0,225,53,77,529,525,90,403,237,362,155
ahya_s0159.g3,1578,653,402,2100,1966,772,1323,1206,84,635,357,885,474,800,187,2348,408,1051,2322
ahya_s0159.g4,1778,817,791,1567,1880,1365,796,1098,866,1487,687,1230,943,1173,653,1219,319,1004,1037
ahya_s0159.g5,1591,547,629,1426,776,1117,1106,1017,1947,988,2071,1066,1478,757,515,1062,567,622,825
ahya_s0159.g6,2228,1685,556,3483,2022,2824,1731,2043,140,2783,610,1936,1606,2567,319,2723,691,2453,2688
ahya_s0159.g7,72,39,4,152,89,155,102,511,30,146,0,231,126,130,109,203,19,96,69
ahya_s0159.g8,3590,1465,939,4032,2656,3575,3163,2379,1569,3041,332,2313,2396,2132,1134,3129,1317,2197,2212
ahya_s0159.g9,180,99,0,159,114,137,182,127,0,194,0,48,173,162,102,224,87,89,185
ahya_s0159.g10,627,238,101,614,375,561,444,592,80,616,321,396,1685,516,493,578,170,384,462
ahya_s0159.g11,6199,3766,1498,11613,7564,10021,6156,10096,656,9159,2653,11549,12769,7494,2352,11714,1438,6404,8314
ahya_s0159.g12,1041,360,180,665,1543,1065,2274,821,458,778,352,813,2566,939,717,1725,441,620,762
ahya_s0159.g13,60,35,0,59,132,123,47,53,0,53,0,56,178,193,83,194,0,196,242
ahya_s0159.g14,288,103,26,235,110,247,80,179,0,246,0,146,87,154,88,182,29,62,85
ahya_s0159.g15,101,32,0,45,187,273,95,65,2,274,0,98,77,86,23,61,0,61,51
ahya_s0159.g16,822,413,151,567,554,1236,144,91,37,1178,15,197,205,133,40,157,0,213,179
ahya_s0159.g17,1667,891,313,1076,1437,1654,1108,1049,1236,1715,737,898,2280,1223,443,757,181,1112,760
ahya_s0159.g18,375,384,70,592,236,664,423,408,0,757,0,238,504,419,110,425,0,436,390
ahya_s0159.g19,67,50,0,62,209,118,77,58,9,78,97,105,171,168,23,150,19,43,74
ahya_s0159.g20,32606,6030,8700,18729,16204,11386,28337,13218,24381,10827,12228,11106,27649,10487,11175,23061,15289,8339,12745
ahya_s0159.g22,902,362,351,1060,707,399,412,533,672,512,268,454,1093,610,228,547,443,512,486
ahya_s0159.g23,5897,3808,2029,9938,7079,7721,5924,7097,1023,7198,3520,7108,11111,7373,1966,11516,1826,5879,6776
ahya_s0159.g28,65,30,0,78,0,66,0,23,0,72,0,26,0,47,0,56,0,13,0
ahya_s0159.g29,725,425,245,776,158,527,93,197,15,567,40,217,116,176,60,88,12,477,308
ahya_s0159.g30,1084,515,265,1762,1086,911,1022,965,235,768,323,880,711,930,329,1942,337,686,883
